Período,Região,Nº Receitas Eletrónicas Dispensadas,Nº Receitas Manuais Dispensadas,Valor Comparticipado pelo SNS
2021-12,ARS Alentejo,381239,7253,6969091.27
2022-01,ARS Norte,3291777,43503,48416085.37
2022-02,ARS Centro,1371373,19262,24278652.01
2014-01,Região de Saúde LVT,2389104,136266,39195901.78
2014-02,Região de Saúde do Centro,1120238,51108,19045122.24
2014-02,Região de Saúde LVT,2150896,124106,35600167.02
2014-03,Região de Saúde do Centro,1176580,48952,20140976.69
2014-04,Região de Saúde do Norte,2137139,91443,33952455.36
2014-04,Região de Saúde do Alentejo,311972,19164,5460628.36
2014-06,Região de Saúde do Norte,2065422,86685,33272910.36
2014-08,Região de Saúde LVT,1866933,86295,31848517.06
2014-08,Região de Saúde do Alentejo,302487,14856,5357565.09
2014-09,Região de Saúde do Alentejo,317858,17439,5676674.69
2014-10,Região de Saúde do Centro,1264556,56480,21461681.92
2015-01,Região de Saúde do Norte,2409402,118590,37157342.34
2015-01,Região de Saúde LVT,2343658,142860,38238765.17
2015-01,Região de Saúde do Algarve,233553,12340,
2015-02,Região de Saúde do Centro,1140371,46796,19191905.28
2015-03,Região de Saúde do Centro,1216713,50530,20752124.78
2015-04,Região de Saúde do Alentejo,333607,17030,5709737.13
2015-06,Região de Saúde LVT,2178698,102214,36422495.73
2015-08,Região de Saúde do Norte,2090893,81991,33419260.84
2015-08,Região de Saúde do Alentejo,312814,14152,5328152.65
2015-10,Região de Saúde LVT,2454955,119946,38989293.43
2015-11,Região de Saúde do Alentejo,336712,15149,5603053.93
2015-11,Região de Saúde do Algarve,232704,11466,3916497.64
2015-12,Região de Saúde do Centro,1249647,48079,20900406.97
2015-12,Região de Saúde do Alentejo,347561,15181,5866074.04
2016-01,Região de Saúde do Centro,1244403,46292,20311289.47
2016-02,Região de Saúde do Algarve,232129,11082,3854355.79
2016-02,Região de Saúde do Alentejo,331092,16281,5529206.74
2016-02,Região de Saúde do Centro,1214587,45477,19719517.87
2016-02,Região de Saúde LVT,2299660,114146,36481549.91
2016-02,Região de Saúde do Norte,2309510,93744,35079682.69
2016-04,Região de Saúde do Centro,1167146,47497,20236048.06
2016-05,Região de Saúde do Centro,1153046,51694,20724011.13
2016-06,Região de Saúde do Centro,1086671,51096,20122253.29
2016-07,Região de Saúde LVT,2073130,119324,37481433.41
2016-07,Região de Saúde do Norte,2078574,103102,36053821.22
2016-08,Região de Saúde do Alentejo,293637,16723,5627934.81
2016-08,Região de Saúde LVT,1857023,93355,33933034.71
2016-09,Região de Saúde do Algarve,204872,15831,3995675.21
2016-09,Região de Saúde do Norte,1927598,114718,35746315.79
2016-12,Região de Saúde LVT,2048513,135076,38198467.63
2017-01,Região de Saúde do Centro,1096579,46785,21388682.05
2017-02,Região de Saúde LVT,1863893,106868,35248651.35
2017-02,Região de Saúde do Alentejo,281883,14564,5305549.47
2017-05,Região de Saúde do Alentejo,315421,17979,6119912.22
2017-06,Região de Saúde do Centro,1024903,47679,21124876.36
2017-09,Região de Saúde do Centro,1011395,43809,21058905.58
