Período;Região;Valor PVP (Ambulatório);Unidades Dispensadas (Ambulatório);Valor PVP (Genéricos);Unidades Dispensadas (Genéricos);Quota Mercado Genéricos - Valor PVP;Quota Mercado Genéricos - Unidades dispensadas
2018-01;Algarve;6483537.37;17465040;1435991.37;7638643;22.14827011940243;43.73676212593844
2018-02;Algarve;5842106.48;15727317;1305307.2;6896216;22.343091562411917;43.848648819121536
2018-07;Alentejo;7650528.009999997;24009392;2117229.3699999885;12132814;27.67429081015794;50.533616178202266
2018-11;Lisboa;61363797.97000002;182165358;15563344.740000036;87985609;25.3624209303485;48.29985786869532
2018-12;Norte;58456505.53000006;180146851;15282097.99;90187242;26.142681385833406;50.063179844314895
2019-01;Algarve;6751941.47;17958764;1502358.3099999984;7905176;22.250760269105214;44.01848590470925
2019-02;Lisboa;58565401.370000035;171865048;14622700.110000065;82122324;24.968154862660093;47.78302799531409
2019-03;Alentejo;7579568.800000011;23138473;2054418.58;11671178;27.104689385496407;50.44057142405205
2019-04;Lisboa;58044745.62000002;171863830;14723981.320000002;83177173;25.366604957480725;48.39713684956282
2019-05;Centro;34275751.30999999;102393540;8205243.310000022;48339762;23.938915986959366;47.2097771011726
2019-07;Lisboa;64843719.100000136;193598140;16348006.020000027;93191524;25.211394791820315;48.136580237806
2019-08;Algarve;7130285.399999991;18954786;1573112.1499999978;8357052;22.062400896323165;44.08940306685604
2019-09;Lisboa;55525571.98000024;163088159;13924213.189999973;79046263;25.077117971905516;48.46842559550875
2019-09;Algarve;6615339.590000008;17585592;1467412.8199999991;7808875;22.1819726717914;44.40495946909265
2019-10;Lisboa;64607043.8500001;185032885;15836021.839999985;89352748;24.511293036045576;48.290198793582015
2019-11;Centro;44385355.11000003;128641087;10498398.619999995;61269527;23.65284358766954;47.62827213983352
2019-11;Algarve;6833641.639999987;17882125;1492912.4700000007;7928045;21.84651388889634;44.33502729681176
2019-12;Norte;55987717.08999978;166270301;14212335.609999994;83461756;25.384738561770227;50.196430449716935
2019-12;Lisboa;62334177.70000001;178982651;15416100.830000024;86359817;24.731377550521568;48.250384334736445
2020-02;Lisboa;60597289.800000265;173199081;14835569.290000062;82965403;24.482232355546696;47.90175705378021
2020-03;Norte;68077621.2400004;203472228;17169108.410000145;103154702;25.21990060356587;50.6971899870286
2020-04;Norte;48397561.22;146225113;12449865.61999999;75200540;25.72415904059058;51.427924011930834
2020-04;Lisboa;52986222.5900002;154777266;13361407.46999994;76691791;25.216757898347648;49.549777549372145
2020-05;Algarve;6111813.629999987;16139015;1352467.349999999;7168749;22.12874004144007;44.418751702009075
2020-06;Norte;50485188.62000029;152976758;14544274.620000001;86526945;28.808993325694182;56.56215109487417
2020-06;Centro;41643835.130000144;123638072;11017554.020000035;64262817;26.456626738643024;51.976560262117324
2020-09;Alentejo;7603600.639999981;22741086;2012311.7599999988;11347119;26.46524791707109;49.896997003573176
2020-10;Norte;58284199.69000037;170660694;14567298.980000034;85485283;24.99356439220233;50.090785989655004
2020-10;Alentejo;7917491.769999978;23592158;2087351.5999999936;11798057;26.363798796850524;50.00838414188308
2020-11;Centro;45509094.410000384;130889051;10790831.890000012;62070413;23.71137468213119;47.422158328583194
2020-11;Lisboa;62047632.85;175753492;15213236.50000003;84754063;24.518641245795777;48.22325976885853
2020-12;Lisboa;61051390.04;175395775;15283457.0;85177755;25.033757609755504;48.5631737708619
2021-01;Norte;56630942.0;169133074;14599887.0;85233635;25.8;50.4
2021-02;Norte;52110122.0;156257425;13511692.0;78998993;25.900000000000002;50.6
2021-03;Algarve;7465318.59;19832748;1702260.09;8864330;22.8022430587252;44.6954199186114
2021-08;Norte;56455840.83;165922300;14487420.79;83848109;25.661509202607704;50.5345628646662
2021-08;Lisboa;57370227.17;163903334;14391609.72;79674250;25.085502411128104;48.6105120961115
2021-08;Alentejo;7780869.19;22907812;2065244.84;11512774;26.5425981284232;50.2569778379533
2021-09;Norte;58699545.53;171686062;15028480.98;86633107;25.602380468719797;50.46018645357479
2021-11;Centro;49551008.33;138789284;11677186.78;65838350;23.5659922442591;47.4376321445682
2021-11;Algarve;7805198.19;19795427;1714206.46;8885841;21.962369414222398;44.8883522441825
2021-11;Alentejo;8455886.07;24260273;2170412.91;12068206;25.6674805222394;49.744724636858
2021-12;Norte;62718378.16;179065708;15787853.85;90548433;25.1726117817075;50.567154376649306
2021-12;Algarve;7662338.03;19571098;1697189.44;8819866;22.1497594253226;45.0657699430047
2022-01;Norte;61083133.62;174802381;15389578.18;88420958;25.1944804857901;50.5833830718816
2022-03;Lisboa;72279142.92;200565349;17579296.58;96065443;24.3213960069465;47.8973279676541
2022-03;Alentejo;8915212.72;25738438;2312595.48;12741207;25.9398799852753;49.5026427011616
2011-01;Alentejo;8407221.91;20682037;2187532.16;7354439;26.02;35.56
2011-02;Alentejo;8277177.61;20065885;2149086.22;7220377;25.96;35.98
2011-06;Algarve;7077274.23;15000947;1559492.4299999995;4886291;22.04;32.57
2011-07;Alentejo;9506797.93;23164767;2366377.55;8627104;24.89;37.24
2011-08;Alentejo;8689317.45;21468950;2166426.4299999997;8216148;24.93;38.27
2011-08;Lisboa;56325639.82;136760491;12604677.87;51320983;22.38;37.53
2011-09;Norte;53254781.730000004;132629469;12790319.520000001;51840952;24.02;39.09
2011-10;Alentejo;8953532.29;21686796;2112920.7399999998;8467115;23.6;39.04
2011-10;Algarve;6887970.130000002;14425996;1452425.34;4934682;21.09;34.21
2011-10;Centro;46689953.14000001;113243408;10063638.790000001;40926770;21.55;36.14
2011-11;Alentejo;8931623.51;21919999;2134836.6800000006;8645019;23.9;39.44
2012-01;Centro;44784866.919999994;112859575;9833608.25;42218046;21.96;37.41
2012-01;Lisboa;60585278.09;147839114;13003280.740000006;58173639;21.46;39.35
2012-03;Centro;44383666.17000001;116174970;9554017.16;44279217;21.53;38.11
2012-04;Alentejo;7475054.349999998;20365681;1703345.1000000003;8402048;22.79;41.26
2012-04;Algarve;5958952.600000001;13998695;1191950.78;5082634;20.0;36.31
2012-07;Alentejo;7174285.500000001;21179217;1557245.15;9091474;21.71;42.93
2012-07;Lisboa;52444891.599999994;149667052;10418900.03;62419087;19.87;41.71
2012-07;Norte;45032648.08;134135188;9643106.26;57480600;21.41;42.85
2012-08;Algarve;6101297.6;16052968;1097693.36;6134662;17.99;38.22
2012-09;Algarve;5563573.08;14792866;1007334.9099999999;5730229;18.11;38.74
2012-09;Norte;42643225.120000005;131810881;8882307.19;57313140;20.83;43.48
