periodo;regiao;encargos_sns_ambulatorio;encargos_utentes_ambulatorio;valor_pvp_ambulatorio;encargos_sns_genericos ;encargos_sns_hospitalar
2019-07;Norte;37478629,01;20012363,15;57490992,16;8396197,31;36507273,54
2019-08;Lisboa;34724137,85;19484959,13;54209096,98;7678489,69;0,00
2019-08;Alentejo;4834858,88;2536725,67;7371584,55;1141751,21;3079065,32
2019-08;Algarve;4514534,03;2615751,37;7130285,40;843884,75;3521525,24
2019-09;Norte;33682518,62;18115096,93;51797615,55;7483066,83;35545431,10
2019-10;Lisboa;40832009,42;23775034,43;64607043,85;8855347,42;0,00
2019-11;Norte;36216511,19;19822570,01;56039081,20;7954264,86;32492371,11
2019-11;Centro;29191950,46;15193404,65;44385355,11;5970301,03;16936122,41
2019-11;Alentejo;5107001,07;2682942,07;7789943,14;1196389,75;3346038,75
2019-11;Algarve;4334136,26;2499505,38;6833641,64;809934,55;2105406,71
2019-12;Norte;36289783,62;19697933,47;55987717,09;7948505,20;13557283,35
2020-03;Centro;36654376,15;18175559,77;54829935,92;7320248,30;20911789,29
2020-04;Alentejo;4886747,10;2437090,32;7323837,42;1139437,27;2937375,57
2020-08;Centro;26800459,68;13741383,14;40541842,82;5535855,09;18715618,73
2020-10;Norte;37482395,21;20801804,48;58284199,69;8095377,25;42356397,77
2020-10;Lisboa;39894867,58;23649619,28;63544486,86;8534726,98;0,00
2020-11;Norte;36462176,99;20013192,72;56475369,71;7915269,67;39741522,27
2020-11;Lisboa;39145732,48;22901900,37;62047632,85;8424608,52;0,00
2020-11;Alentejo;5124897,94;2727218,47;7852116,41;1197717,69;3697345,33
2020-12;Alentejo;5147427,28;2670814,13;7818241,41;1207973,80;3590752,65
2021-01;Centro;29624573,37;15092109,36;44716682,73;6114345,92;19304740,70
2021-02;Norte;34150280,00;17959841,00;52110122,00;7517384,00;36525583,26
2021-02;Centro;27490467,00;13957724,00;41448191,00;5705130,00;17997597,74
2021-02;Alentejo;4768079,00;2458387,00;7226466,00;1109885,00;3336084,84
2021-03;Centro;30935771,39;15760779,61;46696551,00;6443720,51;21327980,05
2021-06;Norte;36816334,60;19108287,18;55924621,78;8019472,41;44076271,98
