Período,Região,Valor PVP (Ambulatório),Nº Embalagens (Ambulatório),Preço Médio por Embalagem (Ambulatório),Valor PVP (Genéricos),Nº Embalagens (Genéricos),Preço Médio por Embalagem (Genéricos)
2013-01,Norte,46224309.260000005,3937278,11.740169035562133,10301278.18,1539772,6.690132162424047
2013-03,Alentejo,6877117.1899999995,565458,12.162030053514142,1594421.35,227748,7.000813838101762
2013-03,Norte,43491612.05,3701323,11.750288221265746,10056900.32,1475228,6.817183730243732
2013-04,Algarve,6181615.299999999,446677,13.839117080127249,1235293.8599999999,159515,7.744060809328276
2013-05,Alentejo,7952386.609999999,635920,12.505325528368347,1890475.0000000002,258737,7.306550667279903
2013-05,Algarve,6396078.460000001,460995,13.874507228928731,1300501.9500000002,166448,7.813262700663271
2013-05,Lisboa,60099793.480000004,4752679,12.645456063832631,13518243.610000001,1847753,7.316044736498872
2013-08,Lisboa,49474081.120000005,3864671,12.8016281644673,11467710.13,1531782,7.486515790105903
2013-09,Algarve,6033968.04,428282,14.088773378288137,1253366.5,154690,8.102440364600168
2013-10,Centro,42684665.18000001,3414750,12.500084978402521,9495633.100000001,1282408,7.404533580576541
2013-11,Alentejo,7475720.420000001,597505,12.511561275637861,1862358.2200000002,247287,7.531161039601759
2013-12,Alentejo,7330401.869999999,588009,12.46647903348418,1849912.4299999997,248327,7.449501785951587
2013-12,Norte,48451636.489999995,4041987,11.987083701654655,11984072.61,1663102,7.20585544963568
2014-01,Centro,42039590.839999996,3421916,12.285395328231317,9668102.170000002,1331959,7.2585583865569445
2014-02,Alentejo,7050309.540000001,581779,12.118535629508802,1782267.8499999996,243070,7.332323404780515
2014-02,Lisboa,54056737.510000005,4410972,12.255062491895211,12792609.73,1753584,7.295122292402303
2014-02,Norte,45662788.27000001,3891283,11.734635663867165,11355313.920000004,1596076,7.114519559218987
2014-04,Alentejo,7089014.559999999,575848,12.310565565913224,1835807.7599999998,247438,7.419263653925427
2014-04,Norte,45840943.970000006,3858620,11.880139523974893,11594025.370000001,1625293,7.133498618402959
2014-05,Lisboa,57578677.72999999,4639579,12.410323809552546,13941457.19,1892161,7.368007896791023
2014-05,Norte,48699262.32,4115490,11.833162593032664,12390933.899999997,1732308,7.152846895586695
2014-07,Algarve,6533261.550000001,480851,13.586873168611485,1393134.71,179564,7.758429919137466
2014-07,Lisboa,58530587.29000001,4683175,12.49805682896753,14163282.709999999,1925502,7.355631263950907
2014-09,Centro,39771091.92000001,3190446,12.465684083040431,9272194.129999999,1277716,7.2568506068641225
2014-10,Norte,51247452.370000005,4408263,11.625316450039392,12784054.630000003,1818341,7.030614516199108
2014-11,Algarve,5844153.3,427473,13.67139749177141,1227822.7599999998,160870,7.632391123267233
2014-12,Norte,49245409.559999995,4157340,11.845413067009192,12395554.250000004,1769979,7.003221083413986
2015-03,Alentejo,7533229.660000002,625884,12.036143534584687,1956483.0500000003,271536,7.2052436877614765
2015-04,Alentejo,7336848.250000001,601911,12.189257631111579,1894109.0199999998,260595,7.268401235633837
2015-05,Alentejo,7216634.149999999,596134,12.10572480348378,1860989.74,255349,7.288024390148385
